date,ticker,open,high,low,close,volume,target,close_lag_1,close_lag_2,close_lag_3,close_lag_4,close_lag_5,sma_5,sma_10,sma_20,rolling_std_5,rolling_std_10,daily_return,return_5d,rsi_14,volume_ratio_5,close_to_sma20,day_of_week
2023-12-11,AAPL,193.1100006103516,193.4900054931641,191.4199981689453,193.17999267578125,60943700,194.7100067138672,195.7100067138672,194.2700042724609,192.32000732421875,193.4199981689453,189.42999267578125,193.78000183105468,191.9289993286133,190.60499954223633,0.013424454154246982,0.010287211333954084,-0.012927361664163084,0.019796231563067757,54.47489092707446,1.1306104109280015,1.0135095781313666,0
2023-12-12,AAPL,193.0800018310547,194.72000122070312,191.72000122070312,194.7100067138672,52696900,197.9600067138672,193.17999267578125,195.7100067138672,194.2700042724609,192.32000732421875,193.4199981689453,194.03800354003906,192.36000061035156,191.1004997253418,0.010130801983823065,0.010464221217113694,0.007920147510585007,0.0066694682924932636,60.14961948249617,1.0309063158170677,1.0188880039231354,1
2023-12-13,AAPL,195.08999633789065,198.0,194.8500061035156,197.9600067138672,70404200,198.1100006103516,194.7100067138672,193.17999267578125,195.7100067138672,194.2700042724609,192.32000732421875,195.16600341796874,193.21900177001953,191.62649993896486,0.011127129992483371,0.010978611859213635,0.016691489332522957,0.02932611883765346,64.69287288708725,1.2355958129840736,1.0330513095888074,2
2023-12-14,AAPL,198.0200042724609,199.6199951171875,196.16000366210935,198.1100006103516,66831600,197.57000732421875,197.9600067138672,194.7100067138672,193.17999267578125,195.7100067138672,194.2700042724609,195.9340026855469,194.03500213623047,192.13150024414062,0.011012829164626124,0.011036192696835466,0.000757697976345284,0.019766285342255552,68.98316483938802,1.0982873831936966,1.0311167109954074,3
2023-12-15,AAPL,197.52999877929688,198.3999938964844,197.0,197.57000732421875,128256700,195.88999938964844,198.1100006103516,197.9600067138672,194.7100067138672,193.17999267578125,195.7100067138672,196.30600280761718,194.66800231933593,192.5245002746582,0.011153181330769441,0.01120365586983625,-0.002725724519050954,0.009503860541331122,67.84404141704923,1.6914468823745539,1.026207090746178,4
2023-12-18,AAPL,196.08999633789065,196.6300048828125,194.38999938964844,195.88999938964844,55751900,196.94000244140625,197.57000732421875,198.1100006103516,197.9600067138672,194.7100067138672,193.17999267578125,196.84800415039064,195.31400299072266,192.83450012207032,0.009768007962591174,0.011085295841541712,-0.008503355126233125,0.014028402612145552,62.00261407208767,0.7454632585381716,1.0158451898682233,0
2023-12-19,AAPL,196.16000366210935,196.9499969482422,195.88999938964844,196.94000244140625,40714100,194.8300018310547,195.88999938964844,197.57000732421875,198.1100006103516,197.9600067138672,194.7100067138672,197.29400329589845,195.66600341796874,193.1090003967285,0.009497728427201148,0.009271164939471896,0.005360166700849378,0.011452907660858491,66.5355884388069,0.5624139231431228,1.019838547332373,1
2023-12-20,AAPL,196.8999938964844,197.67999267578125,194.8300018310547,194.8300018310547,52242800,194.67999267578125,196.94000244140625,195.88999938964844,197.57000732421875,198.1100006103516,197.9600067138672,196.66800231933593,195.91700286865233,193.31850051879883,0.006590586253706778,0.009843474534644642,-0.010713925988598105,-0.015811299134459222,59.99180200850787,0.7597911675229372,1.0078187100986171,2
2023-12-21,AAPL,196.1000061035156,197.0800018310547,193.5,194.67999267578125,46482500,193.6000061035156,194.8300018310547,196.94000244140625,195.88999938964844,197.57000732421875,198.1100006103516,195.98200073242188,195.95800170898437,193.48700027465821,0.006395803147989739,0.009352313593038316,-0.0007699489496669765,-0.017313653646978566,57.388274482018105,0.7185467215750291,1.0061657496339782,3
2023-12-22,AAPL,195.17999267578125,195.41000366210935,192.97000122070312,193.6000061035156,37122800,193.0500030517578,194.67999267578125,194.8300018310547,196.94000244140625,195.88999938964844,197.57000732421875,195.18800048828126,195.74700164794922,193.66850051879882,0.006438004565239297,0.009145195881616478,-0.005547496470601709,-0.020094149281415286,59.24614199932594,0.7989786241988756,0.9996463316693228,4
