model,RMSE,MAE,MAPE,R2
Ridge Regression,6.300332608984204,4.262498192761893,1.8481203174056093,0.998078578870332
XGBoost,19.831670556866992,9.629263902436374,2.9676166956387497,0.9809623119586952
